% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
a,50,53,31.2,66.7,19.0,34.4,0.73,18.7,3,13,16,41,6,7,64,0.78,0.88,l
a,48,82,26.9,50.0,13.0,29.1,0.64,15.2,3,32,14,32,5,5,73,0.66,1.20,l
a,48,72,29.8,75.0,31.2,34.2,0.77,24.0,2,24,12,28,6,9,67,0.72,1.03,l
a,47,61,27.5,62.5,20.0,31.4,0.75,28.8,6,32,13,36,7,5,69,0.68,0.95,l
h,83,55,46.3,66.7,21.4,48.5,1.04,19.3,4,25,17,55,6,18,78,1.07,0.72,w
h,81,67,48.1,66.7,33.3,54.8,1.17,18.0,5,17,10,44,4,15,72,1.12,0.00,w
h,80,62,48.0,71.4,30.4,55.0,1.20,16.5,1,18,16,34,6,18,61,1.32,1.04,w
a,70,75,46.2,43.8,44.4,53.8,1.04,23.8,4,31,16,33,12,12,67,1.04,1.14,l
h,69,64,40.0,55.8,38.5,45.0,0.98,27.1,4,21,22,46,9,13,66,1.04,0.00,w
h,66,63,39.7,82.4,28.6,44.8,1.00,24.3,5,16,13,37,6,11,70,0.94,0.89,w
h,66,69,41.4,69.6,12.5,43.1,0.96,16.7,9,20,14,37,5,12,66,1.00,1.07,l
a,65,69,40.4,76.9,17.6,43.3,1.01,16.6,5,31,9,30,3,4,66,0.98,1.04,l
h,65,49,41.1,66.7,33.3,45.5,0.99,5.2,6,14,11,38,2,8,58,1.12,0.84,w
a,64,62,35.3,84.6,35.7,39.0,0.86,16.4,6,15,18,39,6,8,67,0.95,0.96,w
h,63,65,46.3,69.2,50.0,50.0,1.05,17.2,3,16,12,25,9,10,58,1.08,1.11,l
h,62,51,33.3,72.3,0.0,33.3,0.96,19.6,0,17,11,38,7,6,66,0.94,0.75,w
a,62,66,30.5,72.4,27.8,34.7,0.85,21.8,1,23,19,43,6,8,69,0.90,0.96,l
h,62,67,35.7,63.0,41.7,40.2,0.90,19.7,5,20,16,40,6,11,66,0.94,1.05,l
h,62,78,41.7,71.4,28.6,43.8,1.01,23.1,1,15,8,28,7,8,69,0.90,1.05,l
a,62,75,41.1,71.4,42.9,46.4,0.99,15.3,2,16,13,29,5,16,59,1.06,1.33,l
n,60,68,37.5,83.3,30.8,41.7,1.01,18.9,5,25,8,27,3,7,63,0.95,1.07,l
a,60,57,35.3,63.2,0.0,35.3,0.87,27.5,3,27,19,51,8,9,69,0.87,0.82,w
h,58,64,35.1,93.3,33.3,38.6,0.90,22.3,4,23,12,39,3,12,67,0.86,1.02,l
a,57,68,32.0,82.1,14.3,34.0,0.90,27.8,11,24,14,38,3,4,68,0.84,0.98,l
h,56,63,33.3,70.4,12.5,34.3,0.84,8.1,4,17,10,37,1,10,62,0.91,1.01,l
a,56,59,35.7,82.4,18.2,37.5,0.87,24.6,7,20,15,34,5,4,65,0.86,0.89,l
h,55,65,37.0,83.3,31.2,41.7,0.92,14.8,7,18,8,27,4,12,61,0.91,1.14,l
a,55,63,42.0,78.6,18.2,44.0,0.97,19.5,1,19,7,21,4,12,62,0.89,1.01,l
h,54,70,35.0,66.7,11.1,36.7,0.80,25.3,5,13,14,39,7,13,71,0.76,1.03,l
a,54,78,32.2,61.9,17.6,34.7,0.78,25.6,4,19,11,33,7,12,78,0.69,1.05,l
n,50,59,40.4,66.7,44.4,44.2,0.91,24.7,2,21,9,24,7,5,61,0.82,0.99,l
a,46,78,36.5,70.0,8.3,37.5,0.81,24.7,2,14,8,26,9,8,65,0.71,1.19,l
a,43,67,29.5,76.5,44.4,34.1,0.83,29.5,5,13,9,36,1,4,61,0.70,1.03,l
a,42,98,32.7,45.5,10.0,33.6,0.70,28.9,4,16,16,31,3,3,62,0.68,1.49,l
h,89,61,48.5,73.9,31.6,52.9,1.13,20.8,8,16,18,52,4,21,77,1.16,0.00,w
n,88,94,44.6,75.0,23.5,47.3,1.03,15.7,5,30,10,43,2,13,89,0.98,1.09,l
h,82,72,48.1,86.7,54.5,53.8,1.24,12.8,3,15,5,29,7,19,70,1.17,0.99,w
n,79,72,61.4,75.9,50.0,64.8,1.37,23.7,2,16,3,22,4,19,72,1.10,0.99,w
h,78,62,47.4,79.2,55.6,51.8,1.14,8.0,6,16,11,38,1,17,62,1.25,0.97,w
a,74,63,56.1,95.5,70.0,64.6,1.44,24.4,1,13,5,33,3,20,61,1.20,0.97,w
h,73,84,41.0,71.0,14.3,41.8,0.96,11.5,2,23,14,38,4,13,70,1.05,1.17,l
h,72,65,49.0,80.0,20.0,51.0,1.15,14.7,12,12,5,30,8,18,68,1.06,0.91,w
h,70,58,45.5,77.8,22.2,47.7,1.15,26.4,7,15,11,42,9,6,68,1.03,0.00,w
h,68,75,35.1,80.0,36.4,38.6,0.95,14.4,6,23,12,29,7,10,69,0.98,1.12,l
a,68,86,42.3,78.6,20.0,44.2,1.04,20.7,1,25,4,22,10,16,77,0.88,1.12,l
a,68,83,46.3,68.4,35.7,50.9,1.08,32.5,2,17,7,37,4,17,83,0.82,1.05,l
h,65,68,42.1,78.9,33.3,43.9,0.98,12.1,6,16,8,29,7,15,66,0.98,1.09,l
a,63,70,40.0,83.3,40.0,43.6,0.99,10.8,0,26,6,26,3,14,65,0.98,1.09,l
a,62,66,50.0,66.7,57.1,54.0,1.11,23.2,1,25,6,29,4,10,65,0.96,0.99,l
a,61,71,43.4,57.1,30.0,46.2,0.97,19.4,2,15,9,29,7,14,67,0.91,1.10,l
a,58,67,43.2,81.8,22.2,45.5,1.07,16.3,2,15,3,24,4,9,61,0.94,1.13,l
a,58,69,37.7,61.9,31.2,42.5,0.92,18.2,0,13,9,27,6,9,66,0.88,1.11,l
a,58,79,41.4,53.3,33.3,43.1,0.89,23.9,3,19,11,29,8,11,71,0.82,1.17,l
h,58,64,27.8,92.0,29.4,32.4,0.88,23.2,6,20,13,35,10,11,69,0.84,0.92,l
a,58,70,38.3,77.8,38.5,42.5,0.90,9.5,5,13,7,24,8,16,63,0.92,1.11,l
h,57,61,46.2,85.0,57.1,51.3,1.18,26.9,8,19,5,21,7,14,60,0.96,1.00,l
h,57,65,42.5,72.0,62.5,48.8,1.10,26.7,1,21,8,28,2,11,60,0.95,1.09,l
a,56,79,33.9,70.8,14.3,34.8,0.83,18.0,4,19,8,31,5,10,72,0.77,1.10,l
a,56,66,39.3,57.1,0.0,39.3,0.83,12.9,4,15,7,35,7,16,70,0.80,0.98,l
h,55,68,43.8,76.9,33.3,46.9,1.02,18.9,1,19,7,24,7,11,58,0.95,1.12,l
h,55,48,46.7,75.0,16.7,47.8,1.05,12.4,4,14,3,31,3,16,57,0.97,0.80,w
a,55,80,33.3,85.0,0.0,33.3,0.83,26.5,1,19,11,35,6,11,76,0.73,1.11,l
h,55,63,38.3,80.0,11.1,39.2,0.85,25.1,5,17,11,41,7,14,72,0.77,0.92,l
a,53,69,36.0,78.9,25.0,38.0,0.90,16.9,5,17,5,25,3,8,65,0.82,1.12,l
h,49,80,29.6,69.6,10.0,30.6,0.75,13.7,5,12,8,26,4,7,66,0.74,1.21,l
a,95,44,52.8,54.5,46.7,57.6,1.15,18.7,6,24,13,39,17,20,85,1.11,0.55,w
h,89,63,55.4,71.4,46.7,60.8,1.24,18.3,4,22,9,31,11,17,77,1.16,0.82,w
h,84,74,45.8,68.4,26.3,49.3,1.04,16.3,6,19,9,31,13,12,86,0.98,0.84,w
h,83,80,50.0,73.7,42.9,57.5,1.20,18.6,5,16,12,29,7,11,70,1.19,1.12,w
h,79,58,51.8,82.4,53.8,58.0,1.23,24.3,1,19,11,28,12,15,70,1.13,0.87,w
h,77,81,42.0,66.7,37.5,48.6,1.01,20.5,0,31,14,30,10,13,78,0.99,1.11,l
a,75,72,46.2,71.9,30.8,50.0,1.12,13.8,3,31,11,30,7,6,65,1.15,1.02,w
h,73,77,37.9,65.4,40.0,42.4,0.93,15.3,4,28,12,40,6,8,78,0.93,0.96,l
a,72,65,44.6,61.9,8.3,45.4,0.96,24.1,4,16,15,38,9,10,79,0.91,0.80,w
h,71,73,46.6,66.7,43.8,52.6,1.09,23.6,0,19,10,25,11,8,72,0.98,1.07,l
n,71,81,42.0,47.6,42.9,44.2,0.90,13.5,3,19,15,25,16,7,74,0.96,1.13,l
a,70,67,45.5,63.2,44.4,52.7,1.09,25.0,2,21,13,33,8,9,68,1.03,0.92,w
h,69,60,44.1,59.1,19.0,47.5,0.99,13.8,2,13,13,28,9,15,65,1.05,0.86,w
a,68,105,44.1,47.1,50.0,50.8,1.01,28.1,3,20,16,24,8,13,71,0.96,1.47,l
n,68,76,43.6,66.7,45.5,52.7,1.09,27.1,5,12,11,28,7,14,70,0.97,1.07,l
a,67,65,44.8,60.0,40.0,50.0,1.03,13.2,4,17,6,30,10,10,68,0.98,0.92,w
a,65,81,48.1,100.0,40.0,53.8,1.16,23.8,1,24,5,20,7,14,67,0.97,1.20,l
a,64,68,41.1,68.4,27.8,45.5,0.98,20.3,4,24,10,30,8,11,69,0.93,1.00,l
h,64,48,38.9,65.4,41.7,43.5,0.96,17.1,3,18,13,35,8,11,64,1.00,0.00,w
h,64,55,45.5,80.0,50.0,54.5,1.20,16.8,4,19,4,24,3,12,60,1.08,0.85,w
a,62,68,40.3,66.7,22.2,43.5,0.92,18.0,2,23,13,34,4,8,67,0.93,1.02,l
n,61,73,36.7,72.4,30.8,40.8,0.97,27.6,2,29,5,26,10,4,80,0.77,0.92,l
a,61,55,41.5,59.5,22.2,43.9,1.00,16.7,9,18,6,32,7,7,66,0.93,0.82,w
a,58,55,35.5,76.9,30.8,38.7,0.85,16.9,6,22,9,37,9,8,71,0.82,0.78,w
a,54,71,33.3,55.6,33.3,38.6,0.82,12.9,0,29,5,22,11,10,70,0.78,0.99,l
a,54,68,36.4,50.0,33.3,40.9,0.85,22.5,3,21,12,22,9,10,67,0.81,1.04,l
a,52,74,32.8,47.4,18.8,35.2,0.74,20.0,1,26,10,38,9,8,75,0.69,1.01,l
a,51,79,36.0,88.9,26.9,43.0,0.94,26.5,2,28,10,21,3,7,60,0.85,1.27,l
a,49,77,34.5,60.0,16.7,37.1,0.78,15.0,2,23,6,20,9,6,67,0.73,1.16,l
a,45,60,35.2,28.6,23.8,39.8,0.78,22.1,1,21,8,25,8,14,63,0.71,0.98,l
a,44,61,34.0,60.0,15.4,35.8,0.76,22.7,3,17,10,23,7,14,62,0.71,1.05,l
h,109,59,60.3,57.7,54.5,69.1,1.36,11.6,6,11,12,37,13,22,77,1.41,0.00,w
h,93,87,42.3,76.5,33.3,47.2,1.07,17.0,6,23,14,41,11,22,88,1.06,1.00,w
a,83,70,68.2,70.0,64.3,78.4,1.55,28.8,2,26,4,25,5,18,70,1.19,1.00,w
h,83,67,51.5,69.2,35.3,56.1,1.15,13.0,1,16,12,32,5,18,69,1.20,1.00,w
n,82,79,52.6,93.8,41.2,58.8,1.27,17.2,1,19,7,27,10,16,70,1.18,1.11,w
a,81,69,43.3,88.9,36.8,48.5,1.07,16.8,2,25,11,41,8,18,78,1.04,0.89,w
a,78,83,48.3,78.9,41.2,54.3,1.16,20.0,3,23,11,32,9,17,70,1.11,1.16,l
h,77,54,53.7,61.9,35.3,59.3,1.20,21.7,5,22,10,39,9,11,69,1.12,0.00,w
h,77,67,47.4,77.3,35.3,52.6,1.14,14.6,9,13,9,31,6,11,68,1.13,0.97,w
a,76,96,49.1,66.7,33.3,52.8,1.13,14.4,5,28,8,30,4,11,69,1.10,1.33,l
a,74,78,49.1,70.6,40.0,56.4,1.17,16.2,4,28,6,30,4,14,68,1.09,1.12,l
h,74,54,46.7,56.2,36.0,54.2,1.09,18.4,5,19,10,31,11,12,71,1.05,0.78,w
h,73,83,53.8,66.7,33.3,60.6,1.23,18.4,3,17,6,20,6,13,65,1.12,1.30,l
h,73,77,41.7,41.7,40.0,47.2,0.94,18.6,6,29,12,34,9,14,81,0.91,0.96,l
a,70,75,46.6,72.7,44.4,53.4,1.11,16.4,5,22,7,24,5,15,67,1.04,1.15,l
a,70,78,37.9,72.7,43.5,46.6,1.02,22.5,1,24,10,29,13,15,75,0.93,1.06,l
n,69,55,40.4,77.4,17.6,43.3,1.03,13.9,1,18,11,29,11,8,65,1.07,0.87,w
a,69,68,44.3,47.8,33.3,47.5,0.96,11.6,2,21,11,32,7,17,69,1.00,1.01,w
h,68,77,44.8,70.0,37.5,52.6,1.08,18.3,4,22,9,33,5,12,66,1.03,1.12,l
h,67,57,46.9,73.3,50.0,57.1,1.19,18.4,4,18,3,23,9,13,65,1.03,0.87,w
h,66,53,34.4,87.0,23.5,37.7,0.92,17.7,7,21,7,33,11,11,79,0.84,0.70,w
a,66,83,35.8,78.6,41.2,41.0,0.90,17.0,0,21,10,31,8,9,77,0.86,1.06,l
a,66,70,37.3,65.2,33.3,43.2,0.94,19.5,0,26,12,33,7,9,72,0.92,1.02,l
h,66,65,42.0,51.7,42.9,51.0,1.03,18.0,1,23,9,30,10,13,67,0.99,1.00,w
h,64,70,43.9,61.5,42.9,49.1,1.01,23.6,3,20,5,28,4,16,76,0.84,0.96,l
h,63,60,43.6,60.0,54.5,49.1,1.01,17.2,5,18,14,31,5,16,58,1.08,1.08,w
h,63,64,44.9,75.0,38.9,52.0,1.11,15.7,5,17,3,24,9,14,64,0.99,0.97,l
a,62,71,43.4,87.5,47.4,51.9,1.09,16.7,1,20,2,24,4,14,66,0.94,1.07,l
a,57,70,34.5,68.8,61.5,41.8,0.91,16.0,3,11,10,32,3,10,63,0.91,1.07,l
a,55,69,35.2,65.0,26.7,38.9,0.87,21.6,2,26,9,32,8,7,70,0.79,0.94,l
a,54,93,30.0,65.0,23.8,34.2,0.78,25.8,3,28,12,32,7,7,78,0.70,1.17,l
h,53,64,40.0,62.5,38.9,47.8,1.01,24.4,3,15,3,26,9,14,66,0.81,0.98,l
a,53,70,40.4,42.9,21.7,45.2,0.90,24.8,2,17,7,25,8,7,69,0.77,1.00,l
a,97,87,60.0,86.7,35.7,64.5,1.40,13.8,3,24,7,30,3,15,72,1.34,1.25,w
a,92,88,63.5,77.8,85.7,75.0,1.52,23.8,1,22,6,28,5,18,72,1.29,1.23,w
h,92,65,51.7,77.4,50.0,56.7,1.23,10.0,5,13,12,39,4,15,70,1.32,0.95,w
h,87,59,60.8,84.2,50.0,69.6,1.45,32.9,1,24,7,34,10,22,79,1.10,0.76,w
h,84,67,56.2,65.6,81.8,65.6,1.33,16.6,1,15,8,34,6,16,66,1.27,1.00,w
h,84,60,51.9,80.0,23.5,55.6,1.23,13.0,2,16,8,30,8,17,69,1.21,0.90,w
a,83,69,46.2,78.9,47.1,52.3,1.12,7.8,2,14,15,39,2,15,64,1.30,1.12,w
h,83,57,51.7,63.2,52.9,59.2,1.20,19.7,4,18,12,41,7,21,71,1.17,0.79,w
h,82,84,53.2,87.1,35.7,58.5,1.33,10.8,4,13,4,19,3,16,65,1.27,1.28,l
a,80,69,46.9,87.1,36.8,54.1,1.26,21.8,2,22,10,37,3,9,69,1.16,0.99,w
a,80,73,43.9,81.8,33.3,47.0,1.05,8.5,2,10,12,32,7,13,70,1.14,1.13,w
n,79,82,56.2,85.7,31.8,63.5,1.36,19.7,4,15,1,19,3,17,71,1.11,1.18,l
a,79,81,42.6,84.6,23.8,46.7,1.08,15.4,1,19,13,29,13,11,71,1.11,1.14,l
a,78,87,50.0,81.5,44.4,58.3,1.28,27.3,5,24,5,29,5,9,77,1.02,1.14,l
h,78,81,39.7,69.0,42.1,46.0,1.02,12.7,1,20,8,33,6,12,79,0.99,1.03,l
a,77,85,50.0,62.5,35.7,54.0,1.11,18.2,3,24,11,38,4,7,72,1.08,1.25,l
h,75,76,38.3,72.7,29.4,42.5,0.99,14.1,6,21,15,41,4,14,71,1.06,1.09,l
h,73,65,41.1,80.0,30.4,47.3,1.08,7.6,3,11,7,28,2,15,66,1.11,0.97,w
a,72,61,53.2,79.2,30.0,56.4,1.23,19.6,4,17,5,32,8,8,66,1.08,0.85,w
h,71,58,44.2,73.3,25.0,47.1,1.07,22.6,6,13,8,31,8,17,75,0.94,0.80,w
h,71,67,44.6,68.0,25.0,48.2,1.05,15.3,5,18,7,36,6,12,72,0.99,0.92,w
h,70,65,49.1,76.5,27.8,53.8,1.15,18.7,2,12,9,34,3,18,64,1.09,1.07,w
h,70,59,49.1,55.6,26.7,52.6,1.07,15.0,3,10,9,41,5,15,67,1.05,0.85,w
a,69,86,47.5,60.0,33.3,51.6,1.05,18.1,1,27,7,25,4,10,72,0.96,1.24,l
a,68,66,45.5,75.0,21.4,48.2,1.05,14.8,0,13,7,28,5,10,68,1.01,1.01,w
a,68,78,37.9,53.8,40.7,46.2,0.94,15.2,4,20,11,33,6,10,72,0.94,1.11,l
h,62,65,40.0,78.9,38.9,47.0,1.05,20.3,4,13,8,38,1,12,64,0.97,1.02,l
a,60,67,48.1,38.5,18.8,50.9,1.00,21.5,5,19,9,24,3,8,65,0.92,1.06,l
a,59,54,39.6,69.6,35.7,44.8,1.00,23.9,2,10,8,30,9,9,67,0.88,0.89,w
a,59,85,32.2,66.7,33.3,34.7,0.82,27.8,6,17,20,42,1,8,72,0.82,1.18,l
a,57,55,33.3,52.9,33.3,40.0,0.84,15.4,4,14,13,40,8,11,65,0.88,0.89,w
h,79,65,48.4,78.9,28.6,51.6,1.11,10.0,8,16,8,35,8,13,70,1.13,0.88,w
h,78,63,54.4,56.2,53.8,60.5,1.21,19.8,8,13,12,35,5,13,66,1.19,0.93,w
h,75,61,43.3,65.6,14.3,45.0,1.00,20.5,9,21,13,46,7,17,78,0.96,0.00,w
h,74,45,49.2,56.2,50.0,53.3,1.08,19.0,7,22,13,42,5,15,69,1.08,0.64,w
a,73,71,53.6,52.9,44.4,57.1,1.14,30.4,9,30,9,39,5,12,79,0.92,0.90,w
h,73,64,52.4,75.0,35.7,58.3,1.28,28.5,3,19,7,30,6,12,70,1.04,0.88,w
h,71,70,52.5,37.5,35.3,57.6,1.13,14.5,7,19,4,28,6,19,69,1.03,0.98,w
a,71,82,50.0,47.4,50.0,55.4,1.09,27.3,1,24,9,32,9,11,77,0.92,1.08,l
a,71,78,50.0,53.8,47.6,59.3,1.18,19.4,6,23,6,25,5,11,67,1.06,1.19,l
h,70,79,50.0,69.6,30.8,54.0,1.15,18.5,2,24,8,24,5,14,65,1.08,1.31,l
h,69,89,42.9,53.6,0.0,42.9,0.90,12.9,4,17,9,30,7,20,77,0.89,1.16,l
h,69,67,51.0,57.7,33.3,55.1,1.12,17.8,5,17,6,30,7,10,67,1.02,0.99,w
a,65,68,47.3,69.2,30.8,50.9,1.06,15.1,3,25,5,30,4,11,66,0.98,1.03,l
h,63,67,51.1,84.6,30.8,55.3,1.18,7.4,4,17,3,20,1,10,54,1.16,1.28,l
h,63,68,41.8,75.0,10.0,43.6,0.98,25.2,9,20,14,36,8,13,68,0.93,0.95,l
a,62,73,35.7,57.1,19.0,38.6,0.81,8.7,3,22,14,38,3,10,69,0.90,1.12,l
n,62,75,36.4,85.7,33.3,37.9,0.85,17.4,2,19,11,29,12,5,75,0.83,1.02,l
a,60,73,43.5,54.5,44.4,52.2,1.06,22.4,1,28,8,23,6,15,62,0.96,1.22,l
a,58,63,45.3,45.5,45.5,50.0,1.00,18.3,5,17,9,29,6,10,60,0.96,0.97,l
h,58,50,43.1,61.1,15.8,46.1,0.97,18.0,8,8,14,35,8,11,56,1.04,0.89,w
h,58,75,42.0,64.7,38.5,47.0,1.00,22.7,1,16,7,25,5,11,66,0.88,1.16,l
a,57,67,41.7,60.0,26.3,46.9,0.99,24.4,2,13,8,29,7,7,66,0.87,1.03,l
a,55,72,44.2,73.3,46.2,51.2,1.10,27.4,6,22,5,21,5,9,62,0.89,1.13,l
a,53,66,40.4,62.5,33.3,45.7,0.97,16.5,2,23,4,16,7,12,61,0.88,1.05,l
h,52,63,34.6,50.0,38.9,41.3,0.86,21.1,6,17,12,29,3,11,62,0.85,1.03,l
a,51,56,35.6,80.0,31.2,39.8,0.83,26.7,4,22,12,35,7,12,67,0.76,0.86,l
a,49,83,36.5,56.2,12.5,38.5,0.82,23.3,5,21,7,26,10,15,69,0.71,1.17,l
h,48,75,37.3,52.6,0.0,37.3,0.80,26.5,9,15,10,31,6,8,68,0.71,1.06,l
h,48,61,34.5,50.0,25.0,38.2,0.79,19.8,7,17,12,39,1,6,61,0.79,0.95,l
a,48,73,30.4,50.0,23.1,33.0,0.72,21.9,2,17,13,38,4,7,68,0.70,1.06,l
h,44,58,38.3,66.7,22.2,40.4,0.86,17.2,4,12,8,28,3,7,52,0.84,1.06,l
h,111,51,55.1,65.7,40.0,63.8,1.30,13.9,5,25,11,50,11,28,87,1.28,0.00,w
h,102,47,54.3,61.1,44.1,65.0,1.30,12.2,5,15,14,42,9,26,74,1.39,0.00,w
h,100,52,52.9,60.0,25.0,58.1,1.18,18.6,10,16,19,53,11,26,81,1.24,0.00,w
n,93,85,45.6,75.8,28.6,50.0,1.11,23.8,7,23,10,43,7,13,97,0.96,0.88,w
h,88,39,54.4,84.2,40.0,63.2,1.33,13.6,3,18,9,43,11,23,66,1.33,0.00,w
a,87,64,53.6,76.9,36.8,59.8,1.27,11.2,4,23,5,25,8,14,71,1.22,1.00,w
h,84,78,46.8,55.9,31.8,52.4,1.07,17.1,6,24,15,44,5,16,76,1.10,1.01,w
a,80,63,50.0,76.2,46.2,61.5,1.29,14.5,2,20,9,32,4,14,62,1.29,1.03,w
h,79,50,42.9,74.2,42.1,50.0,1.12,14.8,6,18,13,41,8,17,68,1.17,0.72,w
h,78,59,40.3,75.0,30.4,46.0,1.04,17.6,6,19,19,44,7,19,68,1.14,0.83,w
h,76,52,46.2,71.4,52.0,58.7,1.23,18.8,5,19,10,40,4,19,64,1.19,0.81,w
h,76,49,55.1,76.5,45.0,64.3,1.33,21.3,5,16,9,34,6,19,61,1.24,0.77,w
h,75,64,36.2,78.8,29.2,42.2,1.02,24.1,5,20,17,53,7,16,75,1.00,0.83,w
a,74,60,52.2,73.9,56.2,62.0,1.30,21.3,2,20,9,31,8,11,61,1.22,0.94,w
a,72,59,44.7,77.4,28.6,51.1,1.17,14.8,3,19,4,29,5,13,68,1.06,0.88,w
h,71,49,37.9,78.6,20.0,42.2,1.00,11.4,3,19,17,39,8,16,61,1.16,0.84,w
a,70,42,40.4,62.5,21.1,43.9,0.97,17.1,4,18,14,38,16,11,70,1.00,0.61,w
h,69,60,37.7,85.2,25.0,43.4,1.05,19.5,1,13,12,38,5,12,67,1.03,0.87,w
a,68,62,43.6,66.7,28.6,47.3,1.02,20.4,7,25,8,40,2,4,73,0.93,0.83,w
h,68,79,39.1,73.5,36.8,46.7,1.09,21.2,1,26,10,27,3,10,66,1.03,1.21,l
a,67,61,38.8,70.0,33.3,46.9,1.06,21.8,3,19,6,30,10,13,73,0.92,0.82,w
a,67,76,34.2,60.0,34.8,39.7,0.84,14.5,4,22,21,45,4,8,69,0.97,1.11,l
h,67,59,47.7,51.7,43.5,59.1,1.16,22.8,3,19,7,33,6,17,66,1.02,0.94,w
a,63,66,35.2,85.7,31.8,41.7,0.98,23.2,6,21,11,38,4,8,69,0.91,0.94,l
h,63,52,44.4,66.7,35.0,50.9,1.06,21.6,6,16,9,35,8,16,65,0.97,0.75,w
a,62,39,41.1,66.7,36.4,48.2,1.00,18.5,3,18,9,30,5,12,65,0.96,0.68,w
h,61,44,42.6,66.7,29.2,50.0,1.07,31.0,8,12,17,41,9,15,58,1.05,0.71,w
a,59,61,34.7,69.2,25.9,41.8,0.96,24.5,5,29,12,31,6,7,65,0.90,0.94,l
a,57,59,30.4,60.0,25.0,37.0,0.77,20.4,4,23,19,51,3,16,69,0.83,0.83,l
a,55,64,36.0,54.2,31.6,42.0,0.90,21.8,4,28,4,23,7,6,73,0.75,0.91,l
n,53,64,31.4,90.9,4.2,32.4,0.86,22.6,3,24,10,31,6,8,66,0.80,0.98,l
a,86,79,57.7,84.2,52.6,67.3,1.41,12.1,4,18,3,25,4,14,66,1.30,1.14,w
h,81,58,45.5,80.0,33.3,51.8,1.17,7.3,1,13,6,34,7,17,68,1.19,0.00,w
a,79,71,55.6,75.0,66.7,64.8,1.32,19.5,3,21,6,27,3,15,67,1.18,1.09,w
a,78,86,50.9,69.2,37.9,60.5,1.23,19.1,3,18,8,19,5,15,68,1.14,1.28,l
h,76,64,55.8,77.8,28.6,59.6,1.26,17.0,1,19,7,26,8,12,65,1.18,0.00,w
a,76,84,45.8,52.9,46.4,56.8,1.13,21.8,3,26,6,30,7,18,78,0.97,1.09,l
h,75,79,50.8,46.7,42.9,55.7,1.10,14.3,1,20,8,23,4,19,70,1.07,1.19,l
h,73,70,40.0,62.5,21.7,44.2,0.97,18.4,4,23,13,30,6,10,76,0.96,0.93,w
a,72,88,54.2,81.2,38.9,61.5,1.29,20.8,4,21,6,18,6,11,63,1.15,1.38,l
h,70,57,50.0,45.5,36.8,56.0,1.11,13.8,4,13,7,32,5,15,65,1.07,0.91,w
a,70,61,55.8,66.7,40.0,62.8,1.29,18.2,2,17,5,29,7,15,60,1.16,0.90,w
h,69,74,49.2,57.1,41.2,55.1,1.11,17.1,1,13,9,27,5,17,64,1.07,1.16,l
a,69,56,42.9,81.2,50.0,50.0,1.08,18.0,0,20,9,37,5,9,67,1.04,0.87,w
h,68,59,55.8,69.6,26.7,60.5,1.26,21.8,0,17,0,29,3,18,69,0.99,0.87,w
h,67,76,43.1,76.9,21.4,46.1,1.06,12.1,2,21,5,26,7,11,66,1.01,1.05,l
a,64,53,45.5,72.2,37.9,58.0,1.22,24.4,2,18,3,29,6,15,66,0.98,0.81,w
n,62,67,37.0,72.7,26.1,42.6,0.96,13.3,1,25,6,29,5,9,67,0.92,1.01,l
h,60,68,40.7,72.2,16.7,43.5,0.96,14.2,0,16,8,20,7,7,64,0.94,1.08,l
n,59,61,35.0,57.9,28.6,40.0,0.85,11.4,2,21,7,30,6,13,70,0.84,0.92,l
h,58,61,42.3,73.3,27.3,45.2,0.98,21.7,3,26,5,29,5,13,69,0.84,0.80,l
h,58,71,48.8,66.7,40.0,53.5,1.13,28.3,2,18,6,27,6,12,64,0.91,1.10,l
a,57,60,53.7,76.9,42.9,57.3,1.21,24.5,5,15,4,25,4,17,57,1.00,1.01,l
a,56,51,43.8,83.3,32.1,53.1,1.10,23.0,3,16,4,23,4,12,61,0.92,0.88,w
h,56,66,37.7,64.3,31.8,44.3,0.94,16.3,5,21,3,22,8,14,68,0.83,0.96,l
a,55,79,31.2,69.2,36.8,38.5,0.91,18.1,3,20,6,25,5,8,66,0.83,1.16,l
a,55,70,32.7,82.4,26.9,39.4,0.92,24.3,4,22,7,27,4,10,70,0.79,1.01,l
a,55,100,30.4,71.4,25.8,36.2,0.76,18.8,0,24,12,31,3,14,74,0.74,1.35,l
h,50,55,43.2,62.5,27.3,47.3,1.03,19.9,1,15,4,19,4,13,55,0.90,0.94,l
a,48,55,39.2,70.0,7.1,40.2,0.86,18.7,4,16,8,23,5,9,59,0.82,0.99,l
a,46,61,37.7,60.0,27.3,40.6,0.83,22.6,5,22,4,26,4,15,66,0.69,0.94,l
a,41,67,27.5,61.5,38.5,32.4,0.72,9.8,2,17,2,17,10,10,61,0.67,1.13,l
